SUBGRAPH with N=72000 (8 of 9000x9000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 2048 kB
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
device 1 | 0 run | time (s): 5.0160
device 0 | 0 run | time (s): 5.0333
device 0 | 1 run | time (s): 4.4697
device 1 | 1 run | time (s): 4.4557
device 1 | 2 run | time (s): 5.1039
device 0 | 2 run | time (s): 5.1148
device 1 | 3 run | time (s): 4.2953
device 0 | 3 run | time (s): 4.3281
device 0 | 4 run | time (s): 4.4252
device 1 | 4 run | time (s): 4.4052
device 1 | 5 run | time (s): 4.6477
device 0 | 5 run | time (s): 4.6670
device 1 | 6 run | time (s): 4.9764
device 0 | 6 run | time (s): 5.0034
device 0 | 7 run | time (s): 4.7692
device 1 | 7 run | time (s): 4.7223
device 1 | 8 run | time (s): 4.3860
device 0 | 8 run | time (s): 4.4053
device 1 | 9 run | time (s): 4.7550
device 0 | 9 run | time (s): 4.7872
device 0 | 10 run | time (s): 4.1123
device 1 | 10 run | time (s): 4.0913
Total time used (s): 50.8548
Total time used (s): 51.1156
