device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 1.68e-20, tol 2.22e-16, time 30.0719 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 2.04e-20, tol 2.22e-16, time 30.0004 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 1.70e-20, tol 2.22e-16, time 29.9480 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 1.92e-20, tol 2.22e-16, time 30.0127 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 2.83e-20, tol 2.22e-16, time 29.9756 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 3.76e-20, tol 2.22e-16, time 29.9829 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 4.35e-20, tol 2.22e-16, time 29.9921 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 4.76e-20, tol 2.22e-16, time 29.9764 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 5.05e-20, tol 2.22e-16, time 29.9864 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 5.22e-20, tol 2.22e-16, time 29.9769 sec, pass
device getrf n 36000, nb 6000, p-by-q 1-by-1, residual 5.64e-20, tol 2.22e-16, time 29.9612 sec, pass
