device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 1.37e-20, tol 2.22e-16, time 33.8651 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 1.41e-20, tol 2.22e-16, time 34.1096 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 1.83e-20, tol 2.22e-16, time 33.9251 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 2.54e-20, tol 2.22e-16, time 34.2813 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 3.18e-20, tol 2.22e-16, time 34.0909 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 3.82e-20, tol 2.22e-16, time 34.1232 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 4.34e-20, tol 2.22e-16, time 34.0616 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 4.74e-20, tol 2.22e-16, time 34.0601 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 5.14e-20, tol 2.22e-16, time 33.9877 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 5.32e-20, tol 2.22e-16, time 34.1965 sec, pass
device getrf n 36000, nb 6000, p-by-q 8-by-1, residual 5.55e-20, tol 2.22e-16, time 34.0639 sec, pass
