SUBGRAPH with N=36000 (6 of 6000x6000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 2048 kB
WARN: init failed for remote transport: ibrc
device 0 | 0 run | time (s): 0.9493
device 0 | 1 run | time (s): 0.9326
device 0 | 2 run | time (s): 0.9338
device 0 | 3 run | time (s): 0.9348
device 0 | 4 run | time (s): 0.9391
device 0 | 5 run | time (s): 0.9358
device 0 | 6 run | time (s): 0.9398
device 0 | 7 run | time (s): 0.9439
device 0 | 8 run | time (s): 0.9381
device 0 | 9 run | time (s): 0.9369
device 0 | 10 run | time (s): 0.9387
Total time used (s): 10.3226
