device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.6499 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3821 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3811 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3830 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3829 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3808 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3814 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3811 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3812 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3812 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 8-by-1, residual nan, tol 2.22e-16, time 0.3788 sec, FAILED
