device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3463 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3205 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3203 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3203 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3206 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3207 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3201 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3207 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3202 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3201 sec, FAILED
device potrf n 24000, nb 3000, p-by-q 1-by-1, residual nan, tol 2.22e-16, time 0.3202 sec, FAILED
