device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 1.61e-20, tol 2.22e-16, time 32.7256 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 1.27e-20, tol 2.22e-16, time 32.7607 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 1.93e-20, tol 2.22e-16, time 32.7725 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 2.49e-20, tol 2.22e-16, time 32.7955 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 3.03e-20, tol 2.22e-16, time 32.8463 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 3.77e-20, tol 2.22e-16, time 32.8038 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 4.32e-20, tol 2.22e-16, time 32.8113 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 4.73e-20, tol 2.22e-16, time 32.8061 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 4.88e-20, tol 2.22e-16, time 32.7944 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 5.30e-20, tol 2.22e-16, time 32.8010 sec, pass
device getrf n 36000, nb 6000, p-by-q 4-by-1, residual 5.36e-20, tol 2.22e-16, time 32.8070 sec, pass
