device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 8.57e-21, tol 2.22e-16, time 79.0332 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 1.03e-20, tol 2.22e-16, time 79.1091 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 1.27e-20, tol 2.22e-16, time 79.2287 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 1.67e-20, tol 2.22e-16, time 79.2940 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 2.09e-20, tol 2.22e-16, time 79.2552 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 2.46e-20, tol 2.22e-16, time 79.3496 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 2.78e-20, tol 2.22e-16, time 79.1406 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 3.07e-20, tol 2.22e-16, time 79.3983 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 3.16e-20, tol 2.22e-16, time 79.3449 sec, pass
device getrf n 48000, nb 8000, p-by-q 6-by-1, residual 3.43e-20, tol 2.22e-16, time 79.2269 sec, pass
