Single-kernel with N=12000 (1 of 12000x12000 tiles)
device 0 | 0 run | time (s): 0.1818
device 0 | 1 run | time (s): 0.1647
device 0 | 2 run | time (s): 0.1637
device 0 | 3 run | time (s): 0.1645
device 0 | 4 run | time (s): 0.1637
device 0 | 5 run | time (s): 0.1678
device 0 | 6 run | time (s): 0.1631
device 0 | 7 run | time (s): 0.1722
device 0 | 8 run | time (s): 0.1646
device 0 | 9 run | time (s): 0.1637
device 0 | 10 run | time (s): 0.1686
Total time used (s): 1.8383
